니케 스텟 (SSR등급 한정),,,,,,,,,,,,,,,,,,,,,,,,,,호감도,"요구
포인트",화력형,,,방어형,,,지원형,,,,하모니 큐브,,,,,,,,,,,,분류,"공격력
증가량","방어력
증가량","HP
증가량"
구분,화력형,,,,,,,,방어형,,,,,,,,지원형,,,,,,,,,,,HP,ATK,DEF,HP,ATK,DEF,HP,ATK,DEF,,레벨,공격력,방어력,생명력,우월코드,스킬 레벨,,,니케 추가 슬롯,"소모
크레디트","소모
재료개수",,공용,0,0,450
,HP,ATK,DEF,,,,,,HP,ATK,DEF,,,,,,HP,ATK,DEF,,,,,,,1,150,0,0,0,0,0,0,0,0,0,,,,,,,1슬롯,2슬롯,3슬롯,,,,,클래스,0,5,750
,,,AR,SR,SMG,SG,RL,MG,,,AR,SR,SMG,SG,RL,MG,,,AR,SR,SMG,SG,RL,MG,,2,310,649,29,5,793,19,6,721,24,5,,1,390,78,11800,,1,0,0,1,0,0,,기업,25,5,0
레벨,,,5101,5102,5103,5104,5105,5106,,,5201,5202,5203,5204,5205,5206,,,5301,5302,5303,5304,5305,5306,,3,320,1490,66,10,1822,44,12,1656,55,11,,2,450,90,13600,,1,0,0,2,10000,10,,,,,
1,13500,600,90,76,78,86,88,75,16500,400,110,92,95,106,107,92,15000,500,100,84,86,96,98,84,,4,330,2425,108,16,2963,72,20,2694,90,18,,3,520,103,15600,,2,0,0,2,20000,10,,,,,
2,14175,630,95,79,81,91,92,79,17325,420,116,97,99,111,113,97,15750,525,105,88,90,101,102,88,,5,340,3425,152,23,4186,102,28,3805,127,25,,4,600,119,17900,,2,0,0,3,40000,30,,,,,
3,14850,660,99,83,85,95,97,83,18150,440,121,102,104,116,118,101,16500,550,110,92,95,106,107,92,,6,350,4476,199,30,5470,133,36,4973,166,33,,5,690,136,20600,,2,1,0,3,80000,30,,,,,
4,15525,690,104,87,89,99,101,87,18975,460,127,106,109,121,123,106,17250,575,115,97,99,110,112,96,,7,360,5571,247,37,6809,165,45,6190,206,41,,6,790,157,23700,,2,1,0,4,160000,50,,,,,
5,16200,720,108,91,93,104,105,90,19800,480,132,111,114,127,129,110,18000,600,120,101,103,115,117,100,,8,370,6702,298,45,8192,198,55,7447,248,50,,7,910,180,27300,,3,1,0,4,240000,50,,,,,
6,16875,750,113,94,97,108,110,94,20625,500,138,115,118,132,134,115,18750,625,125,105,108,120,122,105,,9,380,7868,349,52,9616,233,64,8742,291,58,,8,1050,207,31400,12.72,3,1,0,5,320000,70,,,,,
7,17550,780,117,98,101,112,114,98,21450,520,143,120,123,137,140,120,19500,650,130,109,112,125,127,109,,10,390,9062,403,60,11076,269,74,10069,336,67,,9,1200,239,36100,12.72,3,2,0,5,400000,70,,,,,
8,18225,810,122,102,105,117,119,102,22275,540,149,125,128,143,145,124,20250,675,135,113,116,130,132,113,,11,400,10283,457,68,12569,305,84,11426,381,76,,10,1380,274,41500,12.72,3,3,0,6,480000,100,,,,,
9,18900,840,126,106,109,121,123,105,23100,560,154,129,133,148,150,129,21000,700,140,118,121,134,137,117,,12,420,11529,512,77,14091,342,94,12810,427,85,,11,1590,316,47700,14.84,3,4,0,8,480000,100,,,,,
10,19575,870,131,110,112,125,127,109,23925,580,160,134,137,153,156,133,21750,725,145,122,125,139,141,121,,13,430,12798,569,86,15642,379,105,14220,474,95,,12,1830,363,54900,14.84,3,4,0,8,480000,100,,,,,
11,20925,930,140,117,120,134,136,117,25575,620,171,143,147,164,166,143,23250,775,155,130,133,149,151,130,,14,440,14088,626,94,17218,418,114,15653,522,104,,13,2100,417,63100,16.96,3,5,0,10,480000,100,,,,,
12,21600,960,144,121,124,138,140,120,26400,640,176,148,152,169,172,147,24000,800,160,134,138,154,156,134,,15,450,15398,684,103,18820,456,125,17109,570,114,,14,2420,480,72500,16.96,3,5,0,10,480000,100,,,,,
13,22275,990,149,125,128,143,145,124,27225,660,182,152,156,174,177,152,24750,825,165,139,142,158,161,138,,16,470,16727,744,112,20445,496,136,18586,620,124,,15,2780,552,83400,19.09,3,6,0,12,480000,100,,,,,
14,22950,1020,153,128,132,147,149,128,28050,680,187,157,161,180,182,156,25500,850,170,143,146,163,166,142,,17,480,18075,803,121,22091,535,147,20083,669,134,,16,3200,635,95900,,,,,,,,,,,,
15,23625,1050,158,132,136,151,154,132,28875,700,193,162,166,185,188,161,26250,875,175,147,151,168,171,146,,18,500,19438,864,130,23758,576,158,21598,720,144,,17,3680,730,110300,,,,,,,,,,,,
16,24300,1080,162,136,140,156,158,136,29700,720,198,166,171,190,193,166,27000,900,180,151,155,173,176,151,,19,510,20819,925,139,25445,617,169,23132,771,154,,18,4230,890,126900,,,,,,,,,,,,
17,24975,1110,167,140,143,160,162,139,30525,740,204,171,175,195,199,170,27750,925,185,155,159,178,180,155,,20,530,22214,988,149,27150,658,182,24682,823,165,,19,4860,965,145900,,,,,,,,,,,,
18,25650,1140,171,144,147,164,167,143,31350,760,209,176,180,201,204,175,28500,950,190,160,164,182,185,159,,21,540,23624,1050,158,28874,700,193,26249,875,175,,20,5590,1110,167800,,,,,,,,,,,,
